new dataset
sheep: 0.0120
sofa: 0.0421
train: 0.0014
tvmonitor: 0.0318
mAP: 0.1009

loaded weights logs/loss_temperature_distillation_small_mobilenets2_a05_000/last_loss27.7867-val_loss27.7867.h5
416 0.5 0.45
aeroplane: 0.1393
bicycle: 0.1898
bird: 0.0502
boat: 0.0348
bottle: 0.0305
bus: 0.2426
car: 0.1503
cat: 0.0000
chair: 0.0581
cow: 0.0110
diningtable: 0.0566
dog: 0.2323
horse: 0.0084
motorbike: 0.0649
person: 0.2766
pottedplant: 0.0033
sheep: 0.0059
sofa: 0.0510
train: 0.0007
tvmonitor: 0.0278
mAP: 0.0817



